"FarmID","CowID","TX_nr","Sex","Age","haircoat_colour","DateCollected","Season","pregnancy_status","TrypAdmin","Tryp1","Tryp2","Brand","Brand1","Brand2","other_brand","expiry_date","RouteOfAdmin","storage_conditions","Reason_for_treatment","ISM_DoseTypeSachet","ISM_Sachets_Used","ISM_dilution","CompetentAdmin","DZ_Sachets_Used","DZ_dilution","HM_tabs_used","HM_dilution","Girth_length","Body_condition","Abnormalities","Symptoms","presumed_diagnosis","PCV_TX","microscopy_TX","Distance","Herd_size","weight_kg","dose_mg_1","dose_mg_2","dosage_mg_kg_1","dosage_mg_kg_2","dose_description1","dose_description2","dose_description_prophylaxis","dose_description_combined","route_appropriate","adequate_admin","adequate_admin_p","PCR_TX_results","Brucei_TX","Congolense_TX","Vivax_TX","FU1_date","PCR_FU1_results","Brucei_FU1","Congolense_FU1","Vivax_FU1","FU2_date","PCR_FU2_results","Brucei_FU2","Congolense_FU2","Vivax_FU2","FU3_date","PCR_FU3_results","Brucei_FU3","Congolense_FU3","Vivax_FU3","FU4_date","PCR_FU4_results","Brucei_FU4","Congolense_FU4","Vivax_FU4","infected_TX","curative_action","prophylactic_action"
"4","1094","1","M","3.5","white","29/10/2021","Short rains","1","diminazine","diminazine",NA,"DA-F","DA-F",NA,NA,"15/06/2022","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"no the medication was not delivered in a competent manner","1","other",NA,NA,"138","2.5","yes","rough hair coat","tryps","33","no","2841","33","195.941793","1050",NA,"5.358734266",NA,"adequate dose",NA,NA,"therapeutic dose","correct","NO","NO","0","0","0","0","04/11/2021","0","0","0","0","29/11/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","1119","1","F","9","red/brown/tan","15/01/2022","Short rains","0","diminazine","diminazine",NA,"DA-C","DA-C",NA,NA,"01/03/2023","subcutaneously","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"no the medication was not delivered in a competent manner","1","boiled water oxytetracycline (OTC)",NA,NA,"142","2.5","yes","rough hair coat","tryps","33","no","2841","33","212.9729868","1050",NA,"4.930202726",NA,"adequate dose",NA,NA,"therapeutic dose","incorrect","NO","NO","1","0","0","1","21/01/2022","0","0","0","0","14/02/2022","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1160","1","F","5","patches of white and brown/black/tan/red","01/06/2021","Dry","1","diminazine","diminazine",NA,"DA-A","DA-A",NA,"DA-A","15/05/2023","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","boiled water",NA,NA,"134","2","yes","rough hair coat pale mucous membare","tryps","29","no","0","40","179.9374273","1050",NA,"5.835361857",NA,"adequate dose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0","08/06/2021","0","0","0","0","29/06/2021","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1161","1","F","6","white","21/03/2022","Long rains","1","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"142","3.5","no","no symptoms","healthy","33","no","0","40","212.9729868","125",NA,"0.586928896",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","28/03/2022","1","0","0","1","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","1","1","0","0","1","success","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1162","1","F","8","red/brown/tan","01/06/2021","Dry","0","isometamidium diminazine","diminazine","isometamidium","DA-A & ISM-A","DA-A","ISM-A","DA-A","15/05/2023","orally intramuscularly","storage is suitable","treatment of a clinically sick animal","single dose satchet","1","boiled water","yes the medication was delivered in a competent manner","1","boiled water",NA,NA,"126","2","yes","rough hair coat skin lesions","tryps","28","no","0","40","150.8466809","1050","125","6.960709999","0.828655952","overdose","underdose",NA,"therapeutic dose","incorrect","NO","NO","1","0","1","0","08/06/2021","0","0","0","0","29/06/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
